H_estimate,H_error,mu,sigma,T
-0.441505,0.000397073,0.790661,0.635221,0.000922198
-0.442072,0.000390601,0.791152,0.635394,0.000922198
-0.441804,0.000407603,0.791152,0.635394,0.000922198
-0.4417,0.000387562,0.79118,0.6349,0.000922198
-0.441317,0.000396472,0.789651,0.634071,0.000922198
-0.441493,0.000394522,0.790152,0.635616,0.000922198
-0.44182,0.000386829,0.790152,0.635616,0.000922198
-0.441359,0.000397911,0.789784,0.635252,0.000922198
-0.441712,0.000376388,0.790018,0.633536,0.000922198
-0.441479,0.000392048,0.789441,0.632694,0.000922198
-0.442167,0.000387603,0.789842,0.635034,0.000922198
-0.441193,0.000402272,0.791822,0.634358,0.000922198
-0.442057,0.000387355,0.792854,0.634459,0.000922198
-0.442711,0.000375336,0.792854,0.634459,0.000922198
-0.441707,0.000409635,0.792769,0.634053,0.000922198
-0.441728,0.000400268,0.79174,0.634696,0.000922198
-0.442053,0.000395305,0.792244,0.635005,0.000922198
-0.442609,0.000383268,0.791605,0.633818,0.000922198
-0.441781,0.00038232,0.791435,0.633006,0.000922198
-0.443039,0.000373381,0.791435,0.633006,0.000922198
-0.441689,0.00039237,0.79151,0.632615,0.000922198
-0.442569,0.00038832,0.792707,0.632606,0.000922198
-0.44257,0.00038884,0.792707,0.632606,0.000922198
-0.441497,0.000388753,0.792381,0.632126,0.000922198
-0.442867,0.000383796,0.793052,0.631223,0.000922198
-0.443167,0.000392316,0.792137,0.630616,0.000922198
-0.443307,0.000376379,0.792208,0.629092,0.000922198
-0.443049,0.000375303,0.792208,0.629092,0.000922198
-0.44255,0.000378932,0.791932,0.628211,0.000922198
-0.443575,0.000364651,0.791932,0.628211,0.000922198
-0.443142,0.00036593,0.791686,0.629454,0.000922198
-0.44301,0.000375038,0.791195,0.629657,0.000922198
-0.443163,0.000382418,0.791195,0.629657,0.000922198
-0.442357,0.00038907,0.791314,0.631245,0.000922198
-0.442404,0.000388281,0.792699,0.632378,0.000922198
-0.442556,0.000376797,0.793869,0.631848,0.000922198
