H_estimate,H_error
-0.441362,0.00244134
-0.44148,0.00244201
-0.441538,0.00244051
-0.441536,0.00243833
-0.441523,0.00243618
-0.441471,0.00243454
-0.441495,0.00243248
-0.441546,0.00243086
-0.441493,0.00242928
-0.441576,0.00242856
-0.441402,0.00243269
-0.441251,0.00243517
-0.441224,0.00243315
-0.441281,0.00243165
-0.441313,0.00242971
-0.441313,0.00242755
-0.441395,0.0024268
-0.441333,0.00242545
-0.441209,0.00242648
-0.441117,0.00242606
-0.441256,0.00242788
-0.441286,0.00242593
-0.441273,0.00242383
-0.441404,0.00242523
-0.441383,0.00242318
-0.441451,0.00242199
-0.441466,0.0024199
-0.441547,0.00241913
-0.44154,0.00241702
-0.441515,0.00241504
-0.441496,0.00241299
-0.441494,0.00241088
-0.441527,0.002409
-0.441512,0.00240694
-0.441437,0.00240601
-0.441476,0.00240424
-0.44154,0.002403
-0.441486,0.00240151
-0.441478,0.00239944
-0.44146,0.00239742
-0.441451,0.00239536
-0.441427,0.0023934
-0.441455,0.00239148
-0.441323,0.00239301
-0.441318,0.00239094
-0.441301,0.00238894
-0.441307,0.00238689
-0.441337,0.00238501
-0.441446,0.00238546
-0.441416,0.00238359
-0.441427,0.00238156
-0.441484,0.00238019
